SKU,Item Name,Category,Brand,Supplier,Purchase Unit,Stock Count Unit,Conversion Factor,Unit Cost,Minimum Stock Level,Reorder Level,Maximum Stock Level,Notes
SV-001,Chicken thigh boneless,Meat,,Al Islami,carton,kg,10,18.50,10,25,80,
SV-002,Jasmine rice,Rice & Noodles,Royal Umbrella,Star Trading,bag,kg,25,4.20,50,100,400,
SV-003,Cooking oil,Dry Goods,Sunflower,Star Trading,carton,bottle,12,9.75,12,24,96,
SV-004,Tom yum paste,Sauces & Seasonings,Mae Ploy,Thai Mart,carton,tub,24,11.00,6,12,48,
SV-005,Prawns 21/25,Seafood,,Gulf Seafood,carton,kg,6,42.00,5,12,40,frozen
SV-006,Takeaway box large,Packaging,,Pack Gulf,carton,pcs,500,0.42,500,1500,6000,
SV-007,Dish soap 5L,Cleaning Supplies,,Gulf Clean,carton,bottle,4,18.00,2,4,20,
SV-008,Pak choi,Vegetables,,Fresh Farm,box,kg,8,7.50,4,8,25,
SV-009,Egg noodles,Rice & Noodles,,Thai Mart,carton,kg,10,6.80,8,15,60,
SV-010,Coconut milk,Dry Goods,Chaokoh,Thai Mart,carton,tin,24,4.10,24,48,200,
SV-011,Beef striploin,Meat,,Al Islami,vac,kg,,52.00,4,8,25,
SV-012,Soy sauce 5L,Sauces & Seasonings,Kikkoman,Star Trading,carton,bottle,4,26.00,2,4,16,
BAD-1,,Vegetables,,,,kg,,,,,,missing name
SV-013,Lemongrass,Vegetables,,Fresh Farm,box,kg,5,not-a-number,2,4,12,
SV-002,Jasmine rice,Rice & Noodles,,,bag,kg,25,4.20,50,100,400,repeat of SV-002
